,domain,id,id_str,party,screen_name,state,display_name
43,1.0,815159182454296579,815159182454296576,BJP,ShreeDeshmukh01,Maharashtra,Shreerang Deshmukh
44,1.0,2537024917,2537024917,BJP,ganeshhhedda,Maharashtra,Ganesh Hedda
45,1.0,2311661977,2311661977,CPIM,sfisolapur,Maharashtra,SFI SOLAPUR
46,1.0,1013415100361818112,1013415100361818112,CPIM,CpimPune,To Be Added,CPIM PUNE
47,1.0,937385467644743680,937385467644743680,BJP,Siddktweets,Maharashtra,SIDDHESH KHATAVKAR
48,1.0,1026865811590397952,1026865811590397952,BJP,VijayKu35103683,Bihar,Chowkidar Vijay Kumar Singh
49,1.0,878229149256646656,878229149256646656,INC,gauri_ashraf,Maharashtra,Ashraf Gauri
50,1.0,830267068062720000,830267068062720000,BJP,Shailesh_BJYM,Maharashtra,Shailesh Yadav
51,1.0,323085553,323085553,BJP,bulletking8931,Maharashtra,Chandrashekhar Dixit
52,1.0,298067302,298067302,BJP,AbhiSamantBJP,Maharashtra,Abhijit Samant
53,1.0,992947582434357248,992947582434357248,INC,TGurjjar,Maharashtra,тσσfαи ѕ ρσѕωαℓ
54,1.0,773811386854105088,773811386854105088,BJP,SaurabhTete,Maharashtra,Saurabh Tete
55,1.0,1014078341819691008,1014078341819691008,BJP,SameerD57044351,Maharashtra,Sameer Deshmukh
56,1.0,919872327151579137,919872327151579136,INC,UdayjyotiM,Maharashtra,Udayjyoti Mohanty
57,1.0,955255829204123648,955255829204123648,INC,RohiniPandit2,Maharashtra,Rohini Pandit
58,1.0,1409182100,1409182100,INC,harshkottawar,Maharashtra,Harish Kottawar_IYC
59,1.0,3573125965,3573125965,BJP,umeshku67873908,Bihar,Umesh Kumar Singh
60,1.0,847467573373419521,847467573373419520,BJP,AshuFighter111,Maharashtra,Ashutosh Pandey
61,1.0,947016857768169472,947016857768169472,BJP,wasimkh47913671,Maharashtra,wasim r khan
62,1.0,992588114,992588114,BJP,sachinsehgal43,Maharashtra,Sachin sehgal
63,1.0,1019866354139254784,1019866354139254784,BJP,ChetanVRTarale,Maharashtra,Chetan VR Tarale
64,1.0,706401900133027841,706401900133027840,INC,amirz_khan,Maharashtra,Amir Khan
65,1.0,1083761005660786688,1083761005660786688,INC,Sharan04431821,Maharashtra,
66,1.0,1033264418149281792,1033264418149281792,NCP,mla_ncp,Maharashtra,Pandurang Barora Ex.MLA SS
67,1.0,276655457,276655457,BJP,MishraGRAdv,Maharashtra,Ghanshyam Mishra
68,1.0,923297305150734336,923297305150734336,INC,d_congress,Maharashtra,YASMIN.K.D CONGRESS
69,1.0,2837872334,2837872334,INC,mpccc,Maharashtra,Maharashtra Congress
70,1.0,893639584956858369,893639584956858368,BJP,Rahulkrsarraf1,Bihar,Er.Rahul kr sarraf
71,1.0,932631378515992578,932631378515992576,INC,bhushanranbhar2,Maharashtra,@bhushanranbhar1
72,1.0,1046375799799128064,1046375799799128064,INC,digvijay_IYC,Maharashtra,Digvijay Ashok Dalvi 🇮🇳
73,1.0,890631549355515906,890631549355515904,INC,nilesh_khorgade,Maharashtra,Nilesh Khorgade
74,1.0,163088164,163088164,BJP,tejraj4u,Maharashtra,Tejrajsingh@BjpPlg (Modi ka Parivar)
75,1.0,777880325007433729,777880325007433728,BJP,JitendraSJain2,Maharashtra,Jitubhau S.Jain Bamb
76,1.0,297008578,297008578,INC,luckysaini2912,Maharashtra,amardeep singh saini
77,1.0,987250658418999296,987250658418999296,INC,RoshnaShah1,Maharashtra,Roshna Shah
79,1.0,832734155230244865,832734155230244864,INC,MLA_Amarkale,Maharashtra,
80,1.0,844237522570006529,844237522570006528,BJP,AgreRohan,Maharashtra,chowkidar Rohan Agre
81,1.0,913463172077461504,913463172077461504,BJP,RahulJa66662755,Bihar,Rahul Kumar
82,1.0,769753115465752576,769753115465752576,INC,tripath_vijay,Maharashtra,Vijay RameshTripathi
83,1.0,949867432981643264,949867432981643264,INC,SanjayS27300241,Maharashtra,Sanjay Singh
84,1.0,892719440692994048,892719440692994048,INC,umerlakdawala21,Maharashtra,umerlakdawala
85,1.0,887530787851059200,887530787851059200,BJP,SKalambarkar,Maharashtra,Swapnil Kalambarkar
86,1.0,1068909776900374530,1068909776900374528,BJP,BShivadi,Maharashtra,भाजप मुंबई वाॅर्ड क्रमांक २०४
87,1.0,1039570481249021952,1039570481249021952,BJP,PagdhareRekha,Maharashtra,Rekha Pagdhare
88,1.0,3279881749,3279881749,INC,Inderp9999,Maharashtra,Inderpal Singh
89,1.0,3274682665,3274682665,INC,iamsinghgovind,Maharashtra,Govind Singh
90,1.0,2529444799,2529444799,INC,mlasubhashdhote,Maharashtra,Subhash Dhote
91,1.0,894230522544529408,894230522544529408,BJP,AjayUpa21028321,Maharashtra,Ajay Upadhyay
92,1.0,838729821341483008,838729821341483008,BJP,meharhussain660,Bihar,Mehar Hussain
93,1.0,2232741102,2232741102,BJP,tmreddy123,Maharashtra,Thummala MuralidharReddy(MODI JI KA PARIVAR)
95,1.0,251592647,251592647,INC,Azam_khan111,Maharashtra,Azam khan
96,1.0,452875609,452875609,INC,PRINCEJRSHUKLA,Maharashtra,JANTA KA SEVAK
97,1.0,940400436732989440,940400436732989440,BJP,ManojRa23038478,Maharashtra,Manoj Singh Rawat RSS
98,1.0,934267131780370438,934267131780370432,BJP,Sandeep88317165,Maharashtra,
99,1.0,1004044726750928896,1004044726750928896,BJP,Sushil2321985,Maharashtra,Sushil sharma
100,1.0,915470686725988353,915470686725988352,INC,TrusharPadweka1,Maharashtra,Trushar Padwekar
101,1.0,1056557423278936064,1056557423278936064,INC,Prasenjeetwagh1,Maharashtra,Prasenjeet waghmare
102,1.0,2893677410,2893677410,INC,atiksahibole31,Maharashtra,Atik Sahibole INC
103,1.0,1060105272113483776,1060105272113483776,BJP,RajeshP92260379,Bihar,Rajesh Parmar
104,1.0,1050343422689570816,1050343422689570816,INC,aniket_arkade,Maharashtra,Aniket Gautam Arkade🇮🇳
105,1.0,1005449774571536386,1005449774571536384,NCP,KhopoliNcp,Maharashtra,NCP Khopoli
106,1.0,954107063562637313,954107063562637312,AIMIM,saeed_india,Maharashtra,Saeed Ahmed Malegaon Maharashtra India
107,1.0,951131395685937152,951131395685937152,INC,svinoth_tnpyc,Maharashtra,S.Vinoth Kumar
108,1.0,983299343846277120,983299343846277120,INC,DrAslamKhan7,Maharashtra,Dr.Aslam Khan
109,1.0,2805416119,2805416119,MNS,Shalinitai,Maharashtra,Shalini Thackeray
110,1.0,1036163234460389376,1036163234460389376,INC,IncRamzan,Maharashtra,Ramzan Chaudhary Official
111,1.0,1155777830,1155777830,INC,incyuvraj,Maharashtra,INC Yuvraj
112,1.0,837944852629291008,837944852629291008,INC,Navedsheikhshe2,Maharashtra,IYC Naved Sheikh
113,1.0,757863898011803648,757863898011803648,INC,Sayedayub1,Maharashtra,Sayedayub
114,1.0,1010794483330396160,1010794483330396160,INC,PanabakaL,Andhra Pradesh,Panabaka Lakshmi
115,1.0,850022719420747776,850022719420747776,BJP,NiteshSeth02,Bihar,Nitesh Seth
116,1.0,2375487796,2375487796,INC,PradeepChaube15,Maharashtra,Pradeep Chaubey
117,1.0,874539701448867840,874539701448867840,NCP,navnath_devkate,Maharashtra,Navnath Devkate
118,1.0,978313071386071040,978313071386071040,NCP,AbhaySangale,Maharashtra,Mr.Abhay Sangale
119,1.0,388173166,388173166,AAP,AapVimal,Maharashtra,Vimal Jha
120,1.0,803659244813819904,803659244813819904,BJP,PandeSavita,Maharashtra,Savita Pande
121,1.0,1282693992,1282693992,BJP,Shubhamchikhal1,Maharashtra,Shubham chikhalkar
122,1.0,766163345024090113,766163345024090112,BJP,jaykumarfulwani,Maharashtra,jaikumar fulwani
123,1.0,951042471408144384,951042471408144384,BJP,GaneshS32985200,Maharashtra,Ganesh Sharma
124,1.0,1018765491328995329,1018765491328995328,BJP,Pradeep69227425,Maharashtra,Pradeep Shinde
125,1.0,1214947855535788033,1214947855535788032,INC,SunilKedar1111,Maharashtra,Sunil Kedar
126,1.0,937116149065555968,937116149065555968,BJP,Alokkum46774528,Bihar,Alok kumar
127,1.0,2791036978,2791036978,INC,NavnathTirmale,Maharashtra,Navnath Tirmale
128,1.0,703527403549687808,703527403549687808,INC,AshokPa36447329,Maharashtra,Ashok Patil
129,1.0,940038137673166848,940038137673166848,INC,SangliCongress,Maharashtra,Sangli Congress
130,1.0,909817425042034688,909817425042034688,INC,MRafiqshk,Maharashtra,Mohammed Rafique Shaikh
131,1.0,972469093096976384,972469093096976384,INC,ParveenFaroogui,Maharashtra,Parveen Shaikh Faroogui
132,1.0,3273790200,3273790200,INC,imshashankchamp,Maharashtra,शशांक जायसवाल
133,1.0,372714634,372714634,INC,RAMTEKEabhijit,Maharashtra,ABHIJIT
134,1.0,973112236926488576,973112236926488576,INC,DccPimpri,Maharashtra,Pimpri Chinchwad DCC
135,1.0,998103417095643136,998103417095643136,INC,DeepakShelatka2,Maharashtra,Deepak Shelatkar
137,1.0,1048235603140038656,1048235603140038656,BJP,HIRENKHALASI2,Bihar,HIREN KHALASI
138,1.0,764763224491323392,764763224491323392,INC,EastPyc,Maharashtra,North East LYC
139,1.0,873444711037587456,873444711037587456,INC,khopade_bhushan,Maharashtra,Bhushan Khopade NSUI
140,1.0,2826749659,2826749659,INC,saurabhc0,Maharashtra,
141,1.0,2266939358,2266939358,INC,kapilnagvekar,Maharashtra,kapil s nagvekar
142,1.0,1082622641356374016,1082622641356374016,INC,sachinde1979,Maharashtra,Sachin Deshmukh Corporator
143,1.0,345294996,345294996,AIMIM,shakil_dsp,Maharashtra,Shakil Patel
144,1.0,756465701532073984,756465701532073984,BJP,chitlange1,Maharashtra,P. L. CHITLANGE
145,1.0,989382078876790785,989382078876790784,BJP,HajariRamBishn1,Maharashtra,
146,1.0,748623090,748623090,BJP,RoshanpKatekhay,Maharashtra,Roshan Katekhaye (मोदी का परिवार)
147,1.0,888979990800478208,888979990800478208,BJP,SIndapwar,Maharashtra,Sameer M. Indapwar
148,1.0,1075059435964313601,1075059435964313600,BJP,rajujhabjp,Bihar,Raju Jha
149,1.0,744892505309777920,744892505309777920,BJP,jituyb179,Maharashtra,Jitendra Yadav
150,1.0,1547176400,1547176400,BJP,bhosalevarsha24,Maharashtra,Prof.Varsha Bhosale
151,1.0,847421637490114565,847421637490114560,BJP,bjpitcellbwd,Maharashtra,BJP IT Cell Bhiwandi
154,1.0,995247118523613184,995247118523613184,INC,NikhatCongress,Maharashtra,Nikhat Shaikh
155,1.0,965957652353339394,965957652353339392,INC,BGourikar,Maharashtra,Boby Gourikar
156,1.0,3254397993,3254397993,BJP,galandepatil1,Maharashtra,Prashant Galande-pat
157,1.0,2570701997,2570701997,BJP,ved_katore,Maharashtra,ved katore
158,1.0,848870595164913664,848870595164913664,BJP,RatnagiriBJP,Maharashtra,Ratnagiri BJP
159,1.0,1020242871104880640,1020242871104880640,BJP,RahulKu33194794,Bihar,Rahul Kumar Sinha
160,1.0,767340857657667584,767340857657667584,BJP,BABUNAIR14,Maharashtra,BABU NAIR
161,1.0,876421022664331264,876421022664331264,BJP,Sunnydubey1994,Maharashtra,
162,1.0,2412182320,2412182320,CPIM,ashokballa09,Maharashtra,ashok balla
163,1.0,771238263960899585,771238263960899584,AIMIM,salmansayyed511,Maharashtra,
164,1.0,594327736,594327736,INC,Satish363636,Maharashtra,satish kamble
165,1.0,932827466652991488,932827466652991488,NCP,SaheelSayyed786,Maharashtra,Saheel Sayyed
166,1.0,758304093551095808,758304093551095808,NCP,Shreepad01,Maharashtra,Study Success
167,1.0,996128316670271489,996128316670271488,BJP,asifGaietyKhan,Maharashtra,Aasif Khan Gaiety
168,1.0,2177437293,2177437293,INC,prapat888,Maharashtra,Prashant Patil
169,1.0,3052542682,3052542682,INC,asharam_nager,Maharashtra,
170,1.0,1041011101855571968,1041011101855571968,BJP,PeriSravan,Bihar,Sraavan Kumar Peri
171,1.0,704533396999917569,704533396999917568,INC,AmitNSakpal,Maharashtra,Amit Sakpal
172,1.0,1047025554774470656,1047025554774470656,NCP,pravin_kunte,Maharashtra,Pravin Kunte Patil
173,1.0,800390651191799809,800390651191799808,BJP,kedarmankar,Maharashtra,Kedar Mankar
174,1.0,4223560338,4223560338,BJP,balwantvarmaBJP,Maharashtra,Balwant Varma
175,1.0,930419717927342080,930419717927342080,BJP,ThevarSudarshan,To Be Added,chowkidar Sudarshan Thevar BJP
176,1.0,976159675359035392,976159675359035392,BJP,drlaxmanjadhav2,Maharashtra,dr.laxman jadhav
177,1.0,851381705269182464,851381705269182464,BJP,ankushj180491,Maharashtra,Ankush Joshi
178,1.0,1074348569900011520,1074348569900011520,BJP,bjym4borivali,Maharashtra,BJYM4BORIVALI
179,1.0,4189443312,4189443312,INC,sameer983332484,Maharashtra,
182,1.0,1008023338688528384,1008023338688528384,BJP,Sunil39707214,Maharashtra,Sunil
183,1.0,885755139709186048,885755139709186048,BJP,DrSantoshTripa3,Maharashtra,Dr Santosh Tripathi
184,1.0,850712111214886912,850712111214886912,BJP,Dignesh9008,Maharashtra,Dignesh Bhoir
185,1.0,927181654728237056,927181654728237056,INC,nikhilpan2120,Maharashtra,Nikhil Panchal
186,1.0,790099836406083584,790099836406083584,INC,Adnanrshaikh,Maharashtra,Adnan Shaikh
187,1.0,951851441597100032,951851441597100032,INC,TrivediJayam,Maharashtra,Jayam Trivedi
188,1.0,942439119220699137,942439119220699136,NCP,Anand__speaks,Maharashtra,Anand Thakur
189,1.0,897728598530027520,897728598530027520,BJP,AmasidhP,Maharashtra,Amasidh Pujari
190,1.0,1028895866030055424,1028895866030055424,BJP,chaitanyaparek3,Maharashtra,Chowkidar Chaitanya Parekh
191,1.0,701413834209120256,701413834209120256,NCP,vijay81000,Maharashtra,vijayd110471
193,1.0,803222883782643712,803222883782643712,BJP,jitubhandup,Maharashtra,JitendraGhadigaonkar
194,1.0,988838219813830656,988838219813830656,INC,NikhileshIYC1,Maharashtra,
195,1.0,995019945099620352,995019945099620352,BJP,AmitGuptabbbp19,Maharashtra,
196,1.0,2352906439,2352906439,AAP,AAP_SALEMPUR,Tamil Nadu,AAM AADMI PARTY AAP 
197,1.0,2362296398,2362296398,AAP,paliwalkota,Maharashtra,
198,1.0,2603184042,2603184042,BJP,Abhinandan_BJP,Maharashtra,Abhinandan Palsapure
199,1.0,995555530096590848,995555530096590848,INC,ReddyYenge,Maharashtra,Santosh  Reddy Yenge
200,1.0,744071764808966145,744071764808966144,INC,ns_nikhil2120,Maharashtra,Nikhil Panchal
201,1.0,1938882331,1938882331,INC,mhaske_atul,Maharashtra,ATUL V MHASKE
202,1.0,402747095,402747095,INC,nikhilvijaysing,Maharashtra,Nikhil Singanjude
203,1.0,1045624859894591489,1045624859894591488,BJP,DilipKu76936383,Bihar,Dilip Kumar Jha
204,1.0,1612357292,1612357292,INC,robin909singh,Maharashtra,Robin singh parihar
205,1.0,1066714129816215552,1066714129816215552,INC,akash_rahate,Maharashtra,Akash Rahate
206,1.0,1136147604469719040,1136147604469719040,BJP,GulshanJayHind,Maharashtra,Gulshan
207,1.0,2221838905,2221838905,BJP,bjp_satish,Maharashtra,BJP Satish Pandey
208,1.0,815218594359496704,815218594359496704,BJP,SudhirY78657852,Maharashtra,Sudhir Yadav
209,1.0,389976632,389976632,INC,VishalDhuriya1,Maharashtra,Vishal Vijay Dhuriya
210,1.0,837587139789402112,837587139789402112,INC,chhajedakash,Maharashtra,Adv Akash Chhajed
211,1.0,251201744,251201744,BJP,skvs1406,Maharashtra,sureshkumar choubey
212,1.0,1165810268,1165810268,BJP,Mandeepsajmani,Maharashtra,Mandeep singh ajmani
213,1.0,4215652204,4215652204,INC,kha_jameel,Maharashtra,Jamil Khan
214,1.0,952045347924160512,952045347924160512,BJP,RahulRa31753851,Bihar,
215,1.0,295194188,295194188,INC,Roy_Mani,Maharashtra,Abraham (Roy) Mani
216,1.0,1112483881838620673,1112483881838620672,AIMIM,mim_mumbai,Maharashtra,All India Majlis E Ittehadul Muslimeen Mumbai
217,1.0,879166618559012864,879166618559012864,BJP,KalpanaBagulkar,Maharashtra,Kalpana Bagulkar BJP
218,1.0,738417751711199232,738417751711199232,BJP,SinghMuktanand,Maharashtra,muktanand Singh (मैं हूं मोदी का परिवार)
219,1.0,758313204401528833,758313204401528832,INC,kuldipnsui,Maharashtra,KuldipVan Goswami
220,1.0,924155302689234944,924155302689234944,INC,SyedSaj23299449,Maharashtra,Syed Sajid
221,1.0,2533068786,2533068786,RPI,KambleCM,Maharashtra,ChandrashekharKamble
222,1.0,912143345891364864,912143345891364864,BJP,RishiChouhan28,Maharashtra,Rishi Chouhan
223,1.0,2281017812,2281017812,INC,LokareNikhil,Maharashtra,Nikhil Lokare
224,1.0,147637086,147637086,INC,alok3333c,Maharashtra,Alok A Pawar
225,1.0,4461991333,4461991333,INC,surendarvemuri1,Andhra Pradesh,vemurisurendar yadav ap
226,1.0,1038699107101995008,1038699107101995008,BJP,Pradeep36057194,Bihar,Pradeep Tyagi
227,1.0,3165316502,3165316502,INC,BrajeshJagtap,Maharashtra,BRAJESH S JAGTAP
228,1.0,893851551114178561,893851551114178560,INC,AnanShelar,Maharashtra,Rajendra A. Shelar
229,1.0,1632855067,1632855067,BJP,ShivprakashKun1,Maharashtra,Shiv Prakash Kunwar
230,1.0,769623567172562944,769623567172562944,BJP,dilipkhandare70,Maharashtra,Dilip Khandare
231,1.0,1095141543491633152,1095141543491633152,INC,seemamahadik4,Maharashtra,Seema Mahadik(Khopkar)
232,1.0,873415746,873415746,INC,2786Firoz,Maharashtra,
233,1.0,1021001490423599110,1021001490423599104,BJP,Jayshar26386972,Maharashtra,Jay sharma
234,1.0,892622925198614529,892622925198614528,INC,NorthWestSM,Maharashtra,mumbainorthwestsm
235,1.0,926311304133984256,926311304133984256,BJP,Sameerbjp09,Maharashtra,Sameer Limaye
236,1.0,931604804811612160,931604804811612160,BJP,ManishDube19,Maharashtra,Manish Dube
237,1.0,1104008851723116544,1104008851723116544,BJP,Sanjeev04082160,Bihar,Sanjeev Kumar Ray
238,1.0,908142968,908142968,BJP,BhosaleVarsha,Maharashtra,Varsha bhosale
239,1.0,989174533071421442,989174533071421440,BJP,TanishqKulkarni,Maharashtra,
240,1.0,807223909145710592,807223909145710592,INC,AditiJadhav54,Maharashtra,Aditi Jadhav
241,1.0,941196155286822913,941196155286822912,INC,MauryaVishalNCP,Maharashtra,
242,1.0,829672957156978688,829672957156978688,INC,RafikPathanINC,Maharashtra,Rafik Pathan
243,1.0,824685437629370370,824685437629370368,BJP,VikasUpadhayay6,Maharashtra,Vikas Upadhayay
244,1.0,3379599674,3379599674,INC,PChaudharu,Maharashtra,pankaj chaudhary
245,1.0,1048879924314955776,1048879924314955776,INC,RAHULCHUTE4,Maharashtra,RAHUL CHUTE
246,1.0,937806502244634627,937806502244634624,BJP,abvp_malegaon,Maharashtra,ABVP Malegaon
247,1.0,904361301874360321,904361301874360320,BJP,VijayRao9921,Maharashtra,Vijay Sarkar
248,1.0,2525190228,2525190228,CPI,sushilaisf,Bihar,Sushil kumar
249,1.0,914053876000612359,914053876000612352,BSP,RahulSo94618869,Maharashtra,Rahul Sonawane
251,1.0,961681571299303424,961681571299303424,NCP,SKMANZOORAHEMA1,Maharashtra,SK MANZOOR AHEMAD
252,1.0,1030848644478631936,1030848644478631936,BJP,CHANDRAKANTTAY3,Maharashtra,Chandrakant Tayde
253,1.0,1021249706607996929,1021249706607996928,DMK,Sadanan93367771,Maharashtra,Sadanandan
254,1.0,1092004859727863808,1092004859727863808,INC,SharifS47707079,Maharashtra,Sharif Shaikh
255,1.0,764528246625017856,764528246625017856,INC,pankajchaudhray,Maharashtra,Pankaj Chaudhary
256,1.0,1031078494434877440,1031078494434877440,AAP,aapandherieast,Maharashtra,AAP Andheri East
257,1.0,705223159679750144,705223159679750144,BJP,rajabhai586,Maharashtra,Rajabhai
258,1.0,3915788236,3915788236,BJP,svkannal60,Maharashtra,Sanjay Vijay Kannal
260,1.0,4642878560,4642878560,INC,nsui_sandeep,Maharashtra,nsui Sandeep
261,1.0,750666713604161536,750666713604161536,INC,ZameerMakwana1,Maharashtra,Zameer Makwana
262,1.0,754900710479757312,754900710479757312,INC,VijayKumarKano3,Maharashtra,Vijay Kumar Kanojiya
263,1.0,1408331268,1408331268,INC,dineshhyadav1,Maharashtra,dineshh yadav
264,1.0,511271617,511271617,INC,sawanekar,Maharashtra,बेरोजगार PRAKSHIT SAWANEKAR
265,1.0,991273631874367490,991273631874367488,INC,shreshwavale,Maharashtra,suresh wavale
266,1.0,953942230636490752,953942230636490752,INC,patekar_solomon,Maharashtra,Veronica Patekar
267,1.0,993734174,993734174,INC,shrivats_sharma,Maharashtra,Shrivats Sharma
268,1.0,1103540208841211904,1103540208841211904,INC,PimpriI,Maharashtra,Pimpri chinchwad INC
269,1.0,1049324531184095234,1049324531184095232,BJP,JayPati00343094,Maharashtra,chowkidar jay patil
270,1.0,1107325758148501504,1107325758148501504,CPIML,RajuYadav_CPIML,Bihar,Raju Yadav
271,1.0,1034911998914580482,1034911998914580480,BJP,BjpRaees,Maharashtra,aapla_ Raees Shaikh-official BJP
272,1.0,1011544368115662850,1011544368115662848,INC,BycullaMumbai,Maharashtra,Aslam Shaikh Byculla Congress
273,1.0,760838924424056832,760838924424056832,INC,LawanghareRaje1,Maharashtra,Lawanghare Rajendra
274,1.0,1053216433184825344,1053216433184825344,INC,AkshayAgharde,Maharashtra,Akshay Agharde
275,1.0,1004032327188545536,1004032327188545536,INC,raosaheb_sable,Maharashtra,Raosaheb Patil Sable
276,1.0,273357732,273357732,NCP,MaheshTapaseNCP,Maharashtra,Mahesh Tapase
277,1.0,961593616559833088,961593616559833088,BJP,HarishNimje14,Maharashtra,
278,1.0,883698190029004800,883698190029004800,BJP,SanjayA69097277,Maharashtra,Sanjay Agrawal
279,1.0,1017576222946185216,1017576222946185216,BJP,DulgachAvinash,Maharashtra,Avinash Dulgaj (A.D)
280,1.0,893491181979541506,893491181979541504,BJP,Bharat333333333,Maharashtra,Bharat Gaikwad
281,1.0,618921490,618921490,CPIML,Krishna39054083,Bihar,Krishna Mohan
283,1.0,929024241390927872,929024241390927872,INC,JBhuibhar,Maharashtra,Jayashri Bhuibhar
284,1.0,894207199773421569,894207199773421568,INC,vipin_nsui,Maharashtra,Vipin Singh
285,1.0,1088397907248775168,1088397907248775168,INC,MithaliVishwak1,Maharashtra,Mithali Vishwakarma
286,1.0,2730284480,2730284480,BJP,sagarkhinchi7,Maharashtra,Sagar khinchi
287,1.0,929194764611784704,929194764611784704,BJP,MadhavraoYogesh,Maharashtra,Yogesh -Madhavrao Barde
288,1.0,833941586597777408,833941586597777408,BJP,niraj_jetty,Maharashtra,Niraj Jetty
289,1.0,404746285,404746285,INC,ashokpote,Maharashtra,ASHOK_POTE
290,1.0,932273699507408896,932273699507408896,INC,palashmondil2,Maharashtra,N K ALAM
291,1.0,2273323567,2273323567,INC,arjunpagdi,Maharashtra,arjun kunchikorve
292,1.0,1582039771,1582039771,CPIML,ShyamKnl,Bihar,Kunal/SC Chaudhary
293,1.0,784016774,784016774,INC,vaibhavkmkr64,Maharashtra,Vaibhav
294,1.0,3761744178,3761744178,INC,IamJayku,Maharashtra,Jaykumar Siddhani
295,1.0,368332147,368332147,BJP,abhishek28BJP,Maharashtra,Abhishek Shetty
296,1.0,2396351407,2396351407,CPIM,TanajiJaybhave,Maharashtra,Tanaji Jaybhave
297,1.0,1013748237491044352,1013748237491044352,INC,AnjaraKanjibhai,Maharashtra,kanji
298,1.0,1100691452944740352,1100691452944740352,INC,SalenderSheoran,Maharashtra,
299,1.0,1046340330365190144,1046340330365190144,BJP,AmitMundePatil1,Maharashtra,
300,1.0,3241970778,3241970778,INC,FirozIntuc,Maharashtra,nafish ahmed
301,1.0,861927961167097860,861927961167097856,INC,Kishandalamiya,Maharashtra,Kishandalmiya lNC
302,1.0,968685376738070528,968685376738070528,NCP,MlaNcp,Maharashtra,आमदार कॉंग्रेस पार्टी बाळासाहेब राजे भोसले
